,cast,crew,budget,genres,keywords,original_language,original_title,popularity,production_companies,production_countries,revenue,runtime,status,vote_average,vote_count,release_year,release_month,release_quarter
1171,"['Jim Carrey', 'Jeff Daniels', 'Rachel Melvin']","['Bobby Farrelly', 'Peter Farrelly']",40000000,['Comedy'],"['friendship', 'sequel', 'road movie', 'buddy comedy']",en,Dumb and Dumber To,67.767785,"['New Line Cinema', 'Universal Pictures', 'Conundrum Entertainment', 'Red Granite Pictures']",['United States of America'],169837010,110.0,Released,5.4,1127,2014,11,4
1172,"['Paul Walker', 'Bruce Greenwood', 'Moon Bloodgood']",['Frank Marshall'],40000000,"['Adventure', 'Drama', 'Family']","['expedition', 'pilot', 'survival', 'sled dogs', 'seal']",en,Eight Below,24.287306,"['Walt Disney Pictures', 'Spyglass Entertainment', 'Vertigo Entertainment', 'Kennedy/Marshall Company, The', 'Mandeville Films', 'Winking Productions']",['United States of America'],120455994,120.0,Released,6.7,542,2006,2,1
1173,"['Robert De Niro', 'Anne Hathaway', 'Rene Russo']",['Nancy Meyers'],35000000,['Comedy'],"['intern', 'woman director']",en,The Intern,53.114573,"['Waverly Films', 'Warner Bros.']",['United States of America'],194564672,121.0,Released,7.1,1881,2015,9,3
1174,"['Kevin Hart', 'Ice Cube', 'Olivia Munn']",['Tim Story'],40000000,"['Action', 'Comedy']","['police', 'sequel', 'police officer', 'brother-in-law brother-in-law relationship', 'black men', 'buddy film']",en,Ride Along 2,25.136082000000002,"['Universal Pictures', 'Cube Vision', 'Will Packer Productions', 'Reel Chefs Catering']",['United States of America'],124827316,102.0,Released,6.1,555,2016,1,1
1175,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means']",['Michael Mann'],40000000,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']","['secret love', 'mohawk', 'native american', '18th century', 'french and indian war']",en,The Last of the Mohicans,37.776565999999995,['Morgan Creek Productions'],['United States of America'],75505856,112.0,Released,7.1,732,1992,9,3
1176,"['Jamie Foxx', 'Kerry Washington', 'Regina King']",['Taylor Hackford'],40000000,"['Drama', 'Music']","['black people', 'soul', 'country music', 'loss of brother', '1970s', 'jazz', 'blindness and impaired vision', 'georgia', 'overdose', 'bus ride', 'record producer', 'biography', 'from rags to riches', 'childhood trauma', 'gospel', 'indianapolis', 'record label', 'recording studio']",en,Ray,21.743320999999998,"['Universal Pictures', 'Bristol Bay Productions', 'Baldwin Entertainment Group', 'Anvil Films']",['United States of America'],124731534,152.0,Released,7.2,467,2004,10,4
1177,"['Jessica Alba', 'Devon Aoki', 'Clive Owen']","['Robert Rodriguez', 'Frank Miller']",40000000,"['Action', 'Thriller', 'Crime']","['dystopia', 'based on comic book', 'held captive', 'based on graphic novel', 'black and white and color', 'black and white scene', 'black and white to color', 'mysterious killer', 'doing the right thing', 'mercedes', 'silhouette', 'neo-noir']",en,Sin City,66.003433,"['Dimension Films', 'Troublemaker Studios', 'Miramax']",['United States of America'],158733820,124.0,Released,7.2,2691,2005,4,2
1178,"['Dennis Quaid', 'Matthew Fox', 'Forest Whitaker']",['Pete Travis'],40000000,"['Drama', 'Action', 'Thriller', 'Crime']","['bomb', 'terror', 'spain', 'usa president', 'terrorist', 'war against terror', 'camera', 'car journey', 'press', 'television', 'camcorder', 'bodyguard', 'safety', 'terror cell', 'limousine', 'media', 'security guard']",en,Vantage Point,24.862767,"['Columbia Pictures', 'Original Film', 'Kanzaman', 'Relativity Media', 'Art In Motion']",['United States of America'],151161491,90.0,Released,6.2,716,2008,2,1
1179,"['Paul Rudd', 'Jason Segel', 'Rashida Jones']",['John Hamburg'],41000000,['Comedy'],"['poker', 'bondage', 'duringcreditsstinger']",en,"I Love You, Man",25.391899,"['The Montecito Picture Company', 'De Line Pictures', 'Bernard Gayle Productions']",['United States of America'],91636986,105.0,Released,6.5,515,2009,3,1
1180,"['Gwyneth Paltrow', 'Jack Black', 'Jason Alexander']","['Bobby Farrelly', 'Peter Farrelly']",40000000,"['Comedy', 'Romance']","['overweight', 'beauty', 'hypnosis', 'overweight man', 'overweight woman', 'oberflächlichkeit', 'kompliment', 'obesity', 'fat suit', 'beauty standards', 'fat man', 'fat woman', 'attractiveness']",en,Shallow Hal,29.854772999999998,['Twentieth Century Fox Film Corporation'],['United States of America'],141069860,114.0,Released,5.7,731,2001,11,4
1181,"['Kevin Costner', 'Tommy Lee Jones', 'Gary Oldman']",['Oliver Stone'],40000000,"['Drama', 'Thriller', 'History']","['assassination', 'cia', 'homophobia', 'new orleans', 'vietnam war', 'john f. kennedy', 'investigation', 'government', 'historical figure', 'president', 'conspiracy', 'death', 'kennedy assassination']",en,JFK,26.82041,"['Camelot Productions', 'Canal Plus Group', 'Ixtlan Productions', 'Warner Bros.']",['United States of America'],205405498,189.0,Released,7.5,502,1991,12,4
1182,"['Martin Lawrence', 'Nia Long', 'Emily Procter']",['John Whitesell'],40000000,"['Comedy', 'Crime']","['undercover', 'nanny', 'computer virus', 'stress', 'undercover agent', 'overweight woman', 'children', 'disguise', 'fbi agent', 'impersonation']",en,Big Momma's House 2,17.612920000000003,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Epsilon Motion Pictures', 'Firm Films', 'Deep River Productions', 'New Regency Pictures', 'Ed Friendly Productions', 'Runteldat Entertainment', 'Big Lou House Productions']",['United States of America'],138259062,99.0,Released,5.4,371,2006,1,1
1183,"['Brad Pitt', 'Julia Roberts', 'James Gandolfini']",['Gore Verbinski'],57000000,"['Action', 'Comedy', 'Crime', 'Romance']","['kidnapping', 'pistol']",en,The Mexican,21.021809,"['DreamWorks SKG', 'Newmarket Capital Group', 'Lawrence Bender Productions', 'Pistolero Productions LLC']","['Mexico', 'United States of America']",147845033,123.0,Released,5.8,441,2001,3,1
1184,"['Zac Efron', 'Leslie Mann']",['Burr Steers'],20000000,['Comedy'],"['high school', 'bullying', 'high school sports', 'fake identity', 'adult as a child', 'do over']",en,17 Again,52.571674,"['New Line Cinema', 'Offspring Entertainment']",['United States of America'],136267476,102.0,Released,6.1,1350,2009,3,1
1185,"['Cameron Diaz', 'Leslie Mann', 'Kate Upton']",['Nick Cassavetes'],40000000,"['Comedy', 'Romance']","['infidelity', 'revenge', 'unfaithful boyfriend', 'woman', 'sitting on a toilet', 'public toilet', 'marital infidelity', 'laxative', 'unfaithful husband']",en,The Other Woman,34.519636,"['Twentieth Century Fox Film Corporation', 'LBI Productions']",['United States of America'],196781193,109.0,Released,6.2,1437,2014,4,2
1186,"['Bobby Campo', 'Shantel VanSanten', 'Nick Zano']",['David R. Ellis'],40000000,"['Horror', 'Mystery']","['car race', 'dying and death', 'plan', 'stock-car-race', 'car crash', 'premonition', 'gore', 'vision']",en,The Final Destination,32.478077,"['New Line Cinema', 'Practical Pictures', 'Parallel Zide']",['United States of America'],186167139,82.0,Released,5.4,831,2009,8,3
1187,"['Tom Hanks', 'Mark Rylance', 'Amy Ryan']",['Steven Spielberg'],40000000,"['Thriller', 'Drama']","['spy', 'cia', 'cold war', 'soviet union', 'pilot', 'lawyer', 'american']",en,Bridge of Spies,48.445978000000004,"['DreamWorks SKG', 'Amblin Entertainment', 'Studio Babelsberg', 'Fox 2000 Pictures', 'Marc Platt Productions', 'Participant Media', 'Reliance Entertainment', 'TSG Entertainment']","['India', 'United States of America', 'Germany']",165478348,141.0,Released,7.2,2583,2015,10,4
1188,"['Owen Wilson', 'Gene Hackman', 'Gabriel Macht']",['John Moore'],40000000,"['Action', 'Drama', 'Thriller', 'War']","['helicopter', 'war crimes', 'sniper', 'bosnia and herzegovina', 'fighter pilot', 'bosnian war of 1992-1995', 'rescue', 'escape', 'tank', 'atrocity', 'gunfight', 'combat', 'military', 'mine field', 'action hero', 'aircraft carrier', 'reconnaissance', 'mass grave']",en,Behind Enemy Lines,24.012985999999998,"['Twentieth Century Fox Film Corporation', 'Davis Entertainment']",['United States of America'],91753202,106.0,Released,6.0,457,2001,11,4
1189,"['Jonah Hill', 'Russell Brand', 'Rose Byrne']",['Nicholas Stoller'],40000000,['Comedy'],['aftercreditsstinger'],en,Get Him to the Greek,17.869443,"['Universal Pictures', 'Spyglass Entertainment', 'Relativity Media', 'Apatow Productions']",['United States of America'],90029656,109.0,Released,5.9,612,2010,6,2
1190,"['Richard Gere', 'Jennifer Lopez', 'Susan Sarandon']",['Peter Chelsom'],50000000,"['Drama', 'Romance', 'Comedy']","['jealousy', 'wife husband relationship', 'dancing master']",en,Shall We Dance?,14.231898999999999,['Miramax Films'],['United States of America'],170128460,107.0,Released,5.9,297,2004,10,4
1191,"['Gregory Smith', 'Kirsten Dunst', 'Denis Leary']",['Joe Dante'],40000000,"['Comedy', 'Adventure', 'Fantasy', 'Science Fiction', 'Action']","['defense industry', 'toy shop', 'technical toy', 'soldier', 'prototype', 'killer toys', 'toy comes to life']",en,Small Soldiers,23.088570999999998,"['Universal Pictures', 'Amblin Entertainment', 'DreamWorks Pictures']",['United States of America'],54682547,110.0,Released,6.2,511,1998,7,3
1192,"['Michael Jai White', 'Martin Sheen', 'John Leguizamo']",['Mark A.Z. Dippé'],40000000,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']","['anti hero', 'secret agent', 'fistfight', 'based on comic book', 'burn victim']",en,Spawn,19.833664000000002,"['New Line Cinema', 'Pull Down Your Pants Pictures', 'Todd McFarlane Entertainment']",['United States of America'],87840042,96.0,Released,5.0,336,1997,7,3
1193,"['Jim Caviezel', 'Guy Pearce', 'Richard Harris']",['Kevin Reynolds'],35000000,"['Action', 'Adventure', 'Drama', 'Thriller']","['loss of lover', 'lover (female)', 'ex-lover', 'torture', 'napoleon bonaparte']",en,The Count of Monte Cristo,26.595983,"['Spyglass Entertainment', 'World 2000 Entertainment', 'Count of Monte Cristo Ltd.', 'Touchstone Pictures']",['United States of America'],75395048,131.0,Released,7.3,453,2002,1,1
1194,"['Matthew McConaughey', 'Marisa Tomei', 'Ryan Phillippe']",['Brad Furman'],40000000,"['Crime', 'Drama', 'Thriller']","['judge', 'arrest', 'jury', 'private investigator']",en,The Lincoln Lawyer,26.072228,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Lionsgate']",['United States of America'],85412898,119.0,Released,7.0,902,2011,3,1
1195,"['Liam Neeson', 'Diane Kruger', 'January Jones']",['Jaume Collet-Serra'],30000000,"['Action', 'Mystery', 'Thriller']","['taxi', 'hotel', 'coma', 'taxi driver', 'prince', 'briefcase', 'hospital', 'stolen identity']",en,Unknown,38.643914,"['Studio Babelsberg', 'StudioCanal', 'Dark Castle Entertainment', 'TF1 Films Production', 'Canal+', 'Panda Productions Inc.', 'Horticus UK']","['France', 'Germany', 'United Kingdom']",130786397,113.0,Released,6.5,1265,2011,2,1
1196,"['Hugh Jackman', 'Christian Bale', 'Michael Caine']",['Christopher Nolan'],40000000,"['Drama', 'Mystery', 'Thriller']","['competition', 'secret', 'obsession', 'magic', 'dying and death', 'class society', 'illusion', 'tricks', 'hostility', 'class', 'rivalry']",en,The Prestige,74.440708,"['Warner Bros.', 'Touchstone Pictures', 'Syncopy']",['United States of America'],109676311,130.0,Released,8.0,4391,2006,10,4
1197,"['Jason Bateman', 'Jason Sudeikis', 'Charlie Day']",['Sean Anders'],42000000,['Comedy'],"['prison', 'kidnapping', 'sequel', 'car chase', 'sex addict', 'sex tape']",en,Horrible Bosses 2,82.185281,"['New Line Cinema', 'BenderSpink', 'RatPac Entertainment']",['United States of America'],107670357,108.0,Released,6.1,1536,2014,11,4
1198,"['Brendan Fraser', 'Rob Corddry', 'Ricky Gervais']",['Callan Brunker'],40000000,"['Animation', 'Comedy', 'Adventure', 'Family', 'Science Fiction']","['spaceship', 'alien', 'rescue', 'escape', 'planet', 'astronaut', 'Γη', 'mission control']",en,Escape from Planet Earth,18.14218,"['Rainmaker Entertainment', 'Mainframe Entertainment', 'Weinstein Company, The']","['Canada', 'United States of America']",74597643,89.0,Released,5.7,332,2013,2,1
1199,"['Rudy Youngblood', 'Raoul Max Trujillo', 'Gerardo Taracena']",['Mel Gibson'],40000000,"['Action', 'Adventure', 'Drama', 'Thriller']","['loss of family', 'solar eclipse', 'slavery', 'jaguar', 'village', 'maya civilization', 'forest', 'tribe', 'human sacrifice', 'central america', 'maya', 'ancient civilization', 'yucatec maya language']",en,Apocalypto,41.570046999999995,"['Icon Productions', 'Icon Entertainment International', 'Touchstone Pictures']",['United States of America'],120175290,139.0,Released,7.3,1221,2006,12,4
1200,"['Timothy Dalton', ""Maryam d'Abo"", 'Jeroen Krabbé']",['John Glen'],40000000,"['Action', 'Adventure', 'Thriller']","['london england', 'smuggling of arms', 'prison', 'england', 'assassination', 'spy', 'falsely accused', 'secret identity', 'country estate', 'arms deal', 'russia', 'drug traffic', 'secret mission', 'secret intelligence service', 'kgb', 'villain', 'renegade', 'special car', 'tangier morocco', 'big wheel', 'pipeline', 'cello', 'orchestra', 'freedom fighter', 'czechoslovakia', 'bratislava', 'afghanistan', 'airplane', 'schloss schönbrunn', 'escape', 'moscow', 'vienna']",en,The Living Daylights,23.331459,"['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",191185897,130.0,Released,6.2,440,1987,6,2
1201,"['Topher Grace', 'Alice Braga', 'Laurence Fishburne']",['Nimród Antal'],40000000,"['Action', 'Science Fiction', 'Adventure', 'Thriller']","['hunter', 'predator', 'yakuza', 'hunting human beings', 'alien life-form', 'sequel', 'alien', 'alien planet', 'jungle', 'soldier', 'warrior']",en,Predators,47.649553999999995,"['Twentieth Century Fox Film Corporation', 'Davis Entertainment', 'Dune Entertainment III', 'Troublemaker Studios']",['United States of America'],126248813,107.0,Released,6.0,1206,2010,7,3
1203,"['Johnny Depp', 'John Turturro']",['David Koepp'],40000000,"['Thriller', 'Mystery']","['alcohol', 'adultery', 'detective', 'mississippi', 'jealousy', 'isolation', 'paranoia', 'motel', 'window', 'nightmare', 'letter', 'ax', 'notebook', 'police', 'murder', 'mystery', 'arson', 'writer', 'divorce']",en,Secret Window,32.908414,"['Columbia Pictures Corporation', 'Pariah Entertainment Group', 'Grand Slam Productions', ""Mel's Cite du Cinema""]",['United States of America'],92913171,96.0,Released,6.4,972,2004,3,1
1204,"['Keanu Reeves', 'Sandra Bullock', 'Shohreh Aghdashloo']",['Alejandro Agresti'],40000000,"['Romance', 'Drama', 'Mystery']","['chicago', 'writing', 'architect', 'future', 'time', 'architecture', 'mysterious letter', 'near future', 'first kiss', 'romantic drama', 'passage of time']",en,The Lake House,29.887359999999997,"['Village Roadshow Pictures', 'Vertigo Entertainment', 'Sound for Film', 'Warner Bros.']",['United States of America'],114830111,99.0,Released,6.5,670,2006,6,2
1205,"['Kate Hudson', 'Gena Rowlands', 'Peter Sarsgaard']",['Iain Softley'],43000000,"['Drama', 'Horror', 'Mystery', 'Thriller']","['nurse', 'secret', 'dream', 'fight', 'kidnapping', 'new orleans', 'key', 'plantation', 'voodoo', 'party', 'lawyer', 'blood', 'violence', 'mirror', 'attic', 'occult']",en,The Skeleton Key,29.105407,"['Universal Pictures', 'MFPV Film', 'Double Feature Films', 'ShadowCatcher Entertainment', 'Daniel Bobker Productions', 'Brick Dust Productions LLC']","['Germany', 'United States of America']",91974818,104.0,Released,6.4,573,2005,7,3
1207,"['Patrick Dempsey', 'Michelle Monaghan', 'Kevin McKidd']",['Paul Weiland'],40000000,"['Comedy', 'Romance']","['scotland', ""love of one's life"", 'ladykiller', 'one-night stand', 'bridesmaid', 'forbidden love', 'male female relationship', 'best friends in love']",en,Made of Honor,19.574773999999998,"['Columbia Pictures', 'Original Film']","['United Kingdom', 'United States of America']",84601681,101.0,Released,6.0,394,2008,5,2
1208,"['Christopher Walken', 'Vincent Piazza', 'Freya Tingley']",['Clint Eastwood'],40000000,"['Music', 'Drama']","['biography', 'based on play']",en,Jersey Boys,14.199932999999998,['Warner Bros.'],['United States of America'],67347013,134.0,Released,6.8,255,2014,6,2
1209,"['Matt Damon', 'Danny DeVito', 'Jon Voight']",['Francis Ford Coppola'],40000000,"['Drama', 'Crime', 'Thriller']","['jurors', 'proof', 'court case', 'leukemia', 'lawyer', 'courtroom']",en,The Rainmaker,12.229516,"['Paramount Pictures', 'Constellation Entertainment']",['United States of America'],45916769,135.0,Released,6.7,235,1997,11,4
1210,"['Halle Berry', 'Robert Downey Jr.', 'Charles S. Dutton']",['Mathieu Kassovitz'],40000000,"['Horror', 'Thriller']","['amnesia', 'mental institution', 'patient', 'trust', 'false accusations', 'medication', 'gothic', 'mental illness']",en,Gothika,27.303608,"['Columbia Pictures Corporation', 'Dark Castle Entertainment', 'Warner Bros.']",['United States of America'],141591324,98.0,Released,5.8,629,2003,11,4
1211,"['Morgan Freeman', 'Nigel Hawthorne', 'Anthony Hopkins']",['Steven Spielberg'],36000000,"['Drama', 'History', 'Mystery']","['cuba', 'mutiny', 'slavery', 'sentence', 'historical figure', 'havanna', 'tall ship', 'slave trade']",en,Amistad,3.6982760000000003,['DreamWorks SKG'],['United States of America'],74000000,155.0,Released,6.8,316,1997,12,4
1213,"['Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz']","['Colin Strause', 'Greg Strause']",40000000,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']","['predator', 'national guard', 'hybrid', 'alien', 'morgue', 'alien possession', 'triangle', 'infestation', 'xenomorph']",en,Aliens vs Predator: Requiem,39.381913,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Davis Entertainment', 'Brandywine Productions']",['United States of America'],41797066,94.0,Released,4.9,740,2007,12,4
1216,"['Drew Barrymore', 'Hugh Grant', 'Scott Porter']",['Marc Lawrence'],40000000,"['Comedy', 'Music', 'Romance']","['pop star', 'song', 'romantic comedy', 'song writing', 'piano']",en,Music and Lyrics,17.659032,"['Village Roadshow Pictures', 'Castle Rock Entertainment', 'Reserve Room', 'Flower Films (II)']",['United States of America'],145896422,96.0,Released,6.2,554,2007,2,1
1217,"['Seth Rogen', 'Simon Pegg', 'Nick Frost']",['Greg Mottola'],40000000,"['Adventure', 'Comedy', 'Science Fiction']","['san diego', 'area 51', 'alien space craft', 'hit with a chair', 'shot in the knee', 'duringcreditsstinger', '1980s']",en,Paul,43.151268,"['Universal Pictures', 'Big Talk Productions', 'Relativity Media', 'Working Title Films']","['United States of America', 'United Kingdom']",97552050,104.0,Released,6.5,1789,2011,2,1
1218,"['Seth Rogen', 'Barbra Streisand', 'Yvonne Strahovski']",['Anne Fletcher'],40000000,['Comedy'],"['inventor', 'road trip', 'guilt', 'mother son relationship', 'woman director']",en,The Guilt Trip,15.283444,"['Paramount Pictures', 'Skydance Productions']",['United States of America'],41863726,95.0,Released,5.4,284,2012,12,4
1219,"['David Arquette', 'Neve Campbell', 'Courteney Cox']",['Wes Craven'],40000000,"['Horror', 'Mystery']","['sheriff', 'book', 'knife', 'horror', 'rescue', 'author', 'masked killer', 'hospital', 'corpse']",en,Scream 4,35.21926,['Dimension Films'],['United States of America'],97138686,111.0,Released,6.1,902,2011,4,2
1220,"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini']",['Joel Schumacher'],40000000,"['Thriller', 'Crime', 'Mystery']","['pornography', 'porn actor', 'loss of daughter', 'child pornography', 'private investigator', 'subculture', 'private detective']",en,8MM,25.580272,"['Columbia Pictures Corporation', 'Hofflund/Polone', 'Global Entertainment Productions GmbH & Company Medien KG']",['United States of America'],96618699,123.0,Released,6.1,474,1999,2,1
1221,"['Val Kilmer', 'Meg Ryan', 'Kyle MacLachlan']",['Oliver Stone'],38000000,"['Drama', 'Music']","['hippie', 'poetry', 'sex', 'rock and roll', 'nudity', 'hallucination', 'wilderness', 'airplane', 'musical', 'addicted', 'joint', 'organ', 'lsd', 'biography', 'alcoholism', 'the doors', 'car crash', 'singer', 'drug', 'music band', 'flashback', 'blood ritual']",en,The Doors,10.794175,"['Imagine Entertainment', 'Ixtlan Productions', 'Carolco Pictures', 'Bill Graham Films']",['United States of America'],34416893,140.0,Released,6.7,275,1991,3,1
1222,"['Cameron Diaz', 'Jason Segel', 'Rob Corddry']",['Jake Kasdan'],40000000,['Comedy'],"['marriage', 'internet', 'relationship', 'family', 'sex tape']",en,Sex Tape,72.641296,"['Escape Artists', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'LStar Capital']",['United States of America'],126069509,97.0,Released,5.3,1695,2014,7,3
1223,"['Meg Ryan', 'Diane Keaton', 'Lisa Kudrow']",['Diane Keaton'],40000000,"['Comedy', 'Drama']","['sister sister relationship', 'cheating', 'amnesia', 'crisis line', 'telephone', 'loss of wife', 'ex-wife', 'woman director']",en,Hanging Up,3.4155339999999996,"['Laurence Mark Productions', 'Columbia Pictures Corporation', 'Global Entertainment Productions GmbH & Company Medien KG', 'Nora Ephron Productions']","['Germany', 'United States of America']",36037909,94.0,Released,5.0,40,2000,2,1
1224,"['Emma Bell', ""Nicholas D'Agosto"", 'Miles Fisher']",['Steven Quale'],47000000,"['Horror', 'Mystery']","['premonition', 'death by accident', 'crash', 'end is here', 'duringcreditsstinger', '3d']",en,Final Destination 5,38.555482,"['New Line Cinema', 'Practical Pictures', 'Parallel Zide']",['United States of America'],157887643,92.0,Released,5.9,866,2011,8,3
1226,"['Kevin Spacey', 'Helen Hunt', 'Haley Joel Osment']",['Mimi Leder'],40000000,"['Drama', 'Romance']","[""child's point of view"", 'candlelight vigil', 'good deed', 'exotic dancer', 'schoolteacher', 'extra credit assignment', 'disfigurement', 'junior high school', 'burn injury', 'woman director']",en,Pay It Forward,24.313684,"['Bel Air Entertainment', 'Warner Bros.']",['United States of America'],55707411,122.0,Released,7.0,432,2000,10,4
1227,"['Drew Barrymore', 'Jimmy Fallon', 'Jason Spevack']","['Bobby Farrelly', 'Peter Farrelly']",30000000,"['Comedy', 'Drama', 'Romance']","['baseball', 'fanatic', 'relationship problems', 'sport', 'teacher', 'red sox', 'fenway park']",en,Fever Pitch,9.965073,"['Fox 2000 Pictures', 'Wildgaze Films', 'Alan Greenspan Productions', 'Mars Media Beteiligungs', 'Flower Films (II)', 'ELC Productions Ltd.']","['Germany', 'United States of America']",50451307,103.0,Released,5.9,182,2005,4,2
1230,"['Alec Baldwin', 'John Lone', 'Penelope Ann Miller']",['Russell Mulcahy'],25000000,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['new york', 'atomic bomb', 'ladykiller', 'hypnosis', 'superhero', 'based on comic book', 'radio series', 'invisibility', 'the shadow']",en,The Shadow,8.178203,['Universal Pictures'],['United States of America'],48063435,108.0,Released,5.4,138,1994,7,3
1231,"['Thomas Horn', 'Tom Hanks', 'Sandra Bullock']",['Stephen Daldry'],40000000,['Drama'],"['based on novel', 'autism', 'key', 'scavenger hunt', 'death of father', 'young boy', 'new york city', 'tambourine', 'lock', 'grieving', 'post 9/11']",en,Extremely Loud & Incredibly Close,31.066874,"['Paramount Pictures', 'Scott Rudin Productions', 'Warner Bros.']",['United States of America'],55247881,129.0,Released,6.9,708,2011,12,4
1232,"['Rachel McAdams', 'Harrison Ford', 'Patrick Wilson']",['Roger Michell'],40000000,"['Comedy', 'Drama', 'Romance']","['work ethic', 'tv morning show', 'tv reporter']",en,Morning Glory,22.491388,"['Bad Robot', 'Goldcrest Pictures']",['United States of America'],58785180,102.0,Released,6.1,412,2010,1,1
1233,"['50 Cent', 'Joy Bryant', 'Adewale Akinnuoye-Agbaje']",['Jim Sheridan'],40000000,['Drama'],"['loss of mother', 'attempted murder', 'career', 'musical', 'rapper', 'drug']",en,Get Rich or Die Tryin',12.885985,"['Paramount Pictures', 'MTV Films', 'Cent Productions Inc.']",['United States of America'],46442528,117.0,Released,6.3,186,2005,11,4
1234,"['Wesley Snipes', 'Donald Sutherland', 'Maury Chaykin']",['Christian Duguay'],40000000,"['Crime', 'Action', 'Adventure']","['china', 'chinese woman', 'secret agent', 'conspiracy of murder', 'united nations']",en,The Art of War,7.832337,"['Amen Ra Films', 'Franchise Pictures', 'Warner Bros.', 'Morgan Creek Productions']","['Canada', 'United States of America']",30199105,117.0,Released,5.6,135,2000,8,3
1235,"['Anthony Rapp', 'Adam Pascal', 'Rosario Dawson']",['Chris Columbus'],40000000,"['Drama', 'Romance']","['gay', 'sex', 'aids', 'musical', 'hiv', 'based on play', 'african american', 'rock opera', 'missing person', 'hiv positive', 'home movie', 'mugging', 'telephone call \xa0', 'lower east side']",en,Rent,10.433667,"['Columbia Pictures', '1492 Pictures', 'Revolution Studios']",['United States of America'],31670620,135.0,Released,6.7,155,2005,11,4
1237,"['Steve Martin', 'Goldie Hawn', 'John Cleese']",['Sam Weisman'],75000000,['Comedy'],"['new york', 'travel', 'misfortune']",en,The Out-of-Towners,4.842626,"['Paramount Pictures', 'Cherry Alley Productions']",['United States of America'],29000000,90.0,Released,5.0,45,1999,4,2
1238,"['Marlon Brando', 'Val Kilmer', 'David Thewlis']","['John Frankenheimer', 'Richard Stanley']",40000000,"['Fantasy', 'Horror', 'Science Fiction']","['monster', 'experiment', 'island', 'mutation', 'genetics', 'hybrid', 'remake', 'h. g. wells']",en,The Island of Dr. Moreau,13.210898,['New Line Cinema'],['United States of America'],49627779,96.0,Released,4.6,147,1996,8,3
1239,"['Catherine Deneuve', 'Mena Suvari', 'Stephen Rea']",['Peter Hyams'],40000000,"['Action', 'Adventure', 'Drama']","['loss of family', 'queen', 'power', 'power takeover', 'kingdom', 'royalty', 'musketeer', 'murder hunt']",en,The Musketeer,3.296933,"['Crystal Sky Worldwide', 'MDP Worldwide', 'ApolloMedia Distribution', 'Carousel Picture Company, The', 'Signature Entertainment', 'Luxembourg Film Fund', ""D'Artagnan Productions Limited"", 'Q&Q Medien GmbH']","['United Kingdom', 'United States of America', 'Germany', 'Luxembourg']",27053815,104.0,Released,5.2,56,2001,9,3
1241,"['Keanu Reeves', 'Charlize Theron', 'Jason Isaacs']","[""Pat O'Connor""]",40000000,"['Drama', 'Romance']","['workaholic', 'dogsitter']",en,Sweet November,19.372805,"['Bel Air Entertainment', 'Warner Bros.']",['United States of America'],65754228,119.0,Released,6.4,278,2001,2,1
1242,"['Hilary Swank', 'David Morrissey', 'Idris Elba']",['Stephen Hopkins'],40000000,['Horror'],"['river', 'miracle', 'bible', 'louisiana', 'frog', 'grasshopper', 'faith']",en,The Reaping,13.445697000000001,"['Village Roadshow Pictures', 'Dark Castle Entertainment', 'Warner Bros.', 'Eyetronics', 'Chime Films']",['United States of America'],62771059,99.0,Released,5.4,205,2007,4,2
1243,"['Harvey Keitel', 'Robert De Niro', 'David Proval']",['Martin Scorsese'],500000,"['Drama', 'Crime']","['epilepsy', 'protection money', 'secret love', 'money', 'redemption']",en,Mean Streets,17.002095999999998,['Scorsese Productions'],['United States of America'],3000000,110.0,Released,7.2,345,1973,10,4
1244,"['Danny DeVito', 'Mark Wahlberg', 'Gregory Hines']",['Penny Marshall'],40000000,"['Comedy', 'War']","['vietnam veteran', 'commercial', 'advertising expert', 'kaserne', 'stau', 'soldier', 'unemployment', 'woman director', 'teachers and students']",en,Renaissance Man,4.516953,"['Cinergi Pictures Entertainment', 'Touchstone Pictures']","['Canada', 'United States of America']",24332324,128.0,Released,5.9,81,1994,6,2
1245,"['Zoe Saldana', 'Cliff Curtis', 'Callum Blue']",['Olivier Megaton'],40000000,"['Action', 'Thriller', 'Crime', 'Drama']","['street gang', 'uncle', 'female assassin', 'witness to murder']",en,Colombiana,33.785969,"['TF1 Films Production', 'Canal+', 'CinéCinéma', 'Grive Productions', 'EuropaCorp', 'A.J.O.Z. Films']",['France'],60965854,108.0,Released,6.5,824,2011,7,3
